[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\101 Playing In The Band Jam.flac|Playing In The Band|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\102 Cold Rain & Snow.flac|Cold Rain And Snow|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\103 Tennessee Jed.flac|Tennessee Jed|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\104 Feel Like A Stranger.flac|Feel Like A Stranger|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\105 He's Gone.flac|He's Gone|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\106 Bird Song.flac|Bird Song|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\107 The Music Never Stopped.flac|The Music Never Stopped|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\201 Lost Sailor.flac|Lost Sailor|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\202 Saint Of Circumstance.flac|Saint Of Circumstance|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\203 Help On The Way.flac|Help On The Way|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\204 Slipknot!.flac|Slipknot!|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\205 Franklin's Tower.flac|Franklin's Tower|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\206 Drums.flac|Drums|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\207 Space.flac|Space|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\208 The Other One.flac|The Other One|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\209 Stella Blue.flac|Stella Blue|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\210 Not Fade Away.flac|Not Fade Away|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\211 Encore Break.flac|Break|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD 24 Bit (96-2)\212 Touch Of Grey.flac|Touch Of Grey|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Bird Song .mp3|Bird Song|>
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Cold Rain and Snow.mp3|Cold Rain And Snow|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Drums .mp3|Drums|>
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\encore break.mp3|Break|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Feel Like A Stranger.mp3|Feel Like A Stranger|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Franklin’s Tower .mp3|Franklin's Tower|>
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Help on the Way  Slipknot! _.mp3|Help On The Way > Slipknot!|>
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\He’s Gone .mp3|He's Gone|>
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Lost Sailor .mp3|Lost Sailor|>
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Not Fade Away.mp3|Not Fade Away|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Playing in the Band .mp3|Playing In The Band|>
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Saint of Circumstance.mp3|Saint Of Circumstance|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Space .mp3|Space|>
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Stella Blue .mp3|Stella Blue|>
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Tennessee Jed.mp3|Tennessee Jed|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\The Music Never Stopped.mp3|The Music Never Stopped|
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\The Other One .mp3|The Other One|>
[drive]:\Dead & Company\2015\2015-10-29 Times Union Center, Albany, NY AUD MTX mp3\Touch of Grey.mp3|Touch Of Grey|
