Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t01.flac,['CC Rider']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t02.flac,['Guitar Instrumental I']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t03.flac,['Guitar Instrumental II']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t04.flac,['Guitar Instrumental III']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t05.flac,['Guitar Instrumental IV']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t06.flac,['Shotgun Blues']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t07.flac,['Katie Mae']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t08.flac,['Shotgun Blues']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t09.flac,['Hitchhiking Woman']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t10.flac,['Piano Instrumental']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t11.flac,['Two Women']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t12.flac,['When I Was a Boy']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t13.flac,['Michael']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t14.flac,['Hobo Jungle']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t15.flac,['Just Passing Through']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t16.flac,['Easy Rider']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t17.flac,['Black Powder Rag']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t18.flac,['In the Still of the Night']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t19.flac,['Big Boy Pete']
Z:\Grateful Dead\1970\gd1970-00-00.125545.studio.sbd.moore-berger.t-flac16\pigpen1970-xx-xxd1t20.flac,["I'm a Loving Man"]
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et01.flac,['//Masons Children']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et02.flac,['Casey Jones']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et03.flac,['Black Peter']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et04.flac,['tuning/banter']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et05.flac,['Mama Tried']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et06.flac,['Hard To Handle']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et07.flac,['Cumberland Blues']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et08.flac,['Cryptical Envelopment >']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et09.flac,['Drums >']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et10.flac,['The Other//One >']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et11.flac,['Cryptical Envelopment (Reprise) >']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02et12.flac,['Cosmic Charlie//']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02lt01.flac,["Uncle John's Band >"]
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02lt02.flac,['High Time']
Z:\Grateful Dead\1970\gd1970-01-02.137375.sbd.wise.sirmick.sbeok.flac16\gd1970-01-02lt03.flac,['Dire Wolf']
