Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t01.flac,['Midnight Hour >']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t02.flac,['Bertha']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t03.flac,["Walkin' Blues"]
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t04.flac,['crowd']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t05.flac,['Tennessee Jed']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t06.flac,['crowd']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t07.flac,['My Brother Easu']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t08.flac,['Big Railroad Blues >']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t09.flac,['Looks Like Rain']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t10.flac,['Mississippi Half Step >']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d1t11.flac,['Promised Land']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d2t01.flac,['Scarlet Begonias >']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d2t02.flac,['Fire on the Mountain']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d2t03.flac,['Samson and Delilah']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d2t04.flac,['Cryptical Envelopment >']
Z:\Grateful Dead\1985\gd1985-06-16.sbd.jbraveman.26080.sbeok.shnf\gd1985-06-16d2t05.flac,['The Other One >']
