D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t01.flac|Brown Eyed Handsome Man
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t02.flac|Truck Drivin' Man
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t03.flac|If You Hear Me When I'm Leaving
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t04.flac|Whatcha Gonna Do
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t05.flac|All I Ever Wanted
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t06.flac|Henry
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t07.flac|Lodi
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t08.flac|Sawmill
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t09.flac|The Race Is On
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t10.flac|Mama Tried
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t11.flac|Me and My Uncle
D:\Jerry Garcia\1970\jg1970-05-02.028369.nrps.fm.weiner.sbeok.t-flac16\nrps1970-05-02t12.flac|The Weight
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t01.flac|Workin' Man's Blues
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t02.flac|Brown-Eyed Handsome Man
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t03.flac|Truck Drivin' Man
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t04.flac|If You Hear Me When I'm Leavin'
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t05.flac|tuning
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t06.flac|Whatcha Gonna Do
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t07.flac|All I Ever Wanted
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t08.flac|Henry
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t09.flac|Lodi
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t10.flac|Weir introduction
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t11.flac|Saw Mill
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t12.flac|The Race Is On
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t13.flac|Mama Tried
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t14.flac|Me and My Uncle
D:\Jerry Garcia\1970\jg1970-05-02.136784.nrps.sbd.sirmick.t-flac16\nrps1970-05-02t15.flac|The Weight
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t01.flac|Whatcha Gonna Do
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t02.flac|Six Days on the Road
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t03.flac|I Don't Know You
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t04.flac|Portland Woman
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t05.flac|Henry
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t06.flac|Workin' Man Blues
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t07.flac|All I Ever Wanted
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t08.flac|Fair Chance to Know
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t09.flac|Last Lonely Eagle
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t10.flac|Lodi
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t11.flac|The Race Is On
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t12.flac|Seasons of My Heart
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t13.flac|Mama Tried
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t14.flac|Sawmill
D:\Jerry Garcia\1970\jg1970-05-07.097270.nrps.aud.unknown.weiner.sbeok.t-flac16\nrps1970-05-07t15.flac|Honky Tonk Woman
D:\Jerry Garcia\1970\jg1970-05-15.018397.nrps.sbd.orf-weiner.sbeok.t-flac16\nrps1970-05-15d1t01.flac|Six Days on the Road
D:\Jerry Garcia\1970\jg1970-05-15.018397.nrps.sbd.orf-weiner.sbeok.t-flac16\nrps1970-05-15d1t02.flac|Whatcha Gonna Do
D:\Jerry Garcia\1970\jg1970-05-15.018397.nrps.sbd.orf-weiner.sbeok.t-flac16\nrps1970-05-15d1t03.flac|I Don't Know You
D:\Jerry Garcia\1970\jg1970-05-15.018397.nrps.sbd.orf-weiner.sbeok.t-flac16\nrps1970-05-15d1t04.flac|Henry
