D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t01.flac|Wooden Ships
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t02.flac|Mountain Song #5
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t03.flac|Is It Really Monday?
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t04.flac|Mountain Song #2
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t05.flac|Loser #1
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t06.flac|Under Anasthesia (false start)
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t07.flac|Under Anasthesia
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t08.flac|Mountain Song #3
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t09.flac|Wall Song
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t10.flac|Over Jordan
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t11.flac|Wild Turkey (or Leather Winged Bat)
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t12.flac|Loser #2
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t13.flac|Eep Hour
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t14.flac|Wall Song (acoustic)
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t15.flac|Mountain Song #4
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d1t16.flac|Kids and Dogs
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d2t01.flac|Jerry and Jorma Jam #1
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d2t02.flac|Dope Rap w/Piano
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d2t03.flac|Piano
D:\Jerry Garcia\1971\jg1971-01-02.081260.perro.sbd.barncard.sbeok.t-flac16\perro_d2t04.flac|Shuffle (Jam Slide II)
D:\Jerry Garcia\1971\jg1971-01-02.117066.perro.barncard-jcannon.t-flac16\perro1970-71d1t01.flac|Mountain #5
D:\Jerry Garcia\1971\jg1971-01-02.117066.perro.barncard-jcannon.t-flac16\perro1970-71d1t02.flac|Is It Really Monday
