D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\101 gd1967-05-05.126263.t02.golden rd.flac16.flac|The Golden Road
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\102 jg1975-01-05.FM.interview.History of the Dead.tc3.flac16.flac|history of the Grateful Dead
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\103 jg1975-01-05.FM.interview.UJB.tc3.flac16.flac|Uncle John's Band
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\104 gd1970-10-31.sbd.miller.122042.d3t04.Cosmic Charlie.flac16.flac|Cosmic Charlie
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\105 jg1975-01-05.FM.radio ad.tc3.flac16.flac|ad
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\106 jg1975-01-05.FM.interview.Benefits.tc3.flac16.flac|"I don't remember why, either..."
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\107 gd74-06-23.116312.d3t02.Spanish Jam.flac16.flac|Spanish Jam >
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\108 gd74-06-23.116312.d3t03.US Blues.flac16.flac|U. S. Blues
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\109 jg1975-01-05.FM.interview.tc3.flac16.flac|"I missed it..."
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\110 gd1974-06-23.116312.d3t03.us blues.flac16.flac|U. S. Blues
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\111 jg1975-01-05.FM.interview.The Present.tc3.flac16.flac|"...a revolution that everybody could totally dig..."
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\112 gd72-12-31.Bertha.26559.d3t01.Truckin.flac.flac|Truckin'
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\113 jg1975-01-05.FM.interview.Performing.tc3.flac16.flac|limits
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\114 gd1973-09-21.127548.s1t12.playing in the band.flac16.flac|Playing in the Band
D:\Jerry Garcia\1975\jg1975-01-05.132137.interview.fm..tc3.t-flac16\115 jg1975-01-05.FM.interview.Live Performances.tc3.flac16.flac|"...you can't let it become a formula..."
