D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.01.flac|Teddy Bears' Picnic
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.02.flac|Jack-a-Roe 
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.03.flac|Dark as a Dungeon 
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.04.flac|Bow Wow
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.05.flac|Tuning
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.06.flac|Two Soldiers > 
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.07.flac|Friend of the Devil >
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.08.flac|Louis Collins 
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.09.flac|Stealin'
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.10.flac|Tuning
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.11.flac|Jenny Jenkins 
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.12.flac|Walkin' Boss 
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.13.flac|When First Unto This Country
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.14.flac|Tuning
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.15.flac|Milestones
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.16.flac|Sitting In Limbo
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.17.flac|Tuning
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.18.flac|Russian Lullaby >
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.19.flac|I Ain't Never
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.20.flac|Bag's Groove
D:\Jerry Garcia\1994\jg1994-01-12.150311.jgdg.neumannKM54.fink.waddell-gems.t-flac16\JGDG1994-01-12.gems.21.flac|Ripple
D:\Jerry Garcia\1994\jg1994-01-12.30691.jgdg.aud.jupille.loy.sbeok.flac16\jg+dg1994-01-12(too)d1t01.flac|Teddy Bear's Picnic
D:\Jerry Garcia\1994\jg1994-01-12.30691.jgdg.aud.jupille.loy.sbeok.flac16\jg+dg1994-01-12(too)d1t02.flac|Jack-A-Roe
D:\Jerry Garcia\1994\jg1994-01-12.30691.jgdg.aud.jupille.loy.sbeok.flac16\jg+dg1994-01-12(too)d1t03.flac|Dark As A Dungeon
D:\Jerry Garcia\1994\jg1994-01-12.30691.jgdg.aud.jupille.loy.sbeok.flac16\jg+dg1994-01-12(too)d1t04.flac|Bow Wow (Japan)
D:\Jerry Garcia\1994\jg1994-01-12.30691.jgdg.aud.jupille.loy.sbeok.flac16\jg+dg1994-01-12(too)d1t05.flac|Two Soldiers
